subdataset_id,dataset_name,first_public_year,year_basis,in_scope_2022_2026,robot,robot_morphology,episodes,file_size_gb,mb_per_episode,registered_dataset_name,open_x_access_status,data_collect_method,action_space,control_frequency,citation,notes,parent_aggregate,source_url
OX011,TOTO Benchmark,2023,2023（官方表Citation字段）,true,Franka,Single Arm,901,127.66,141.687,toto,可从Open X注册清单获取,"The dataset is collected in 3 ways: Human teleoperation -- VR Teleop, trained state-based BC policies, and trajectory replay with noise",Joint position,30,"@inproceedings{zhou2023train,
  author={Zhou, Gaoyue and Dean, Victoria and Srirama, Mohan Kumar and Rajeswaran, Aravind and Pari, Jyothish and Hatch, Kyle and Jain, Aryan and Yu, Tianhe and Abbeel, Pieter and Pinto, Lerrel and Finn, Chelsea and Gupta, Abhinav},
  booktitle={2023 IEEE International Conference on Robotics and Automation (ICRA)}, 
  title={Train Offline, Test Online: A Real Robot Learning Benchmark}, 
  year={2023},
 }",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX012,Language Table,2023,2023（官方表Citation字段）,true,xArm,Single Arm,442226,399.22,0.9028,language_table,可从Open X注册清单获取,Human VR,EEF Position,10,"@article{lynch2023interactive,
  title={Interactive language: Talking to robots in real time},
  author={Lynch, Corey and Wahid, Ayzaan and Tompson, Jonathan and Ding, Tianli and Betker, James and Baruch, Robert and Armstrong, Travis and Florence, Pete},
  journal={IEEE Robotics and Automation Letters},
  year={2023},
  publisher={IEEE}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX013,Columbia PushT Dataset,2023,2023（官方表Citation字段）,true,UR5,Single Arm,122,2.8,22.9508,columbia_cairlab_pusht_real,可从Open X注册清单获取,Human VR,EEF Position,10,"@inproceedings{chi2023diffusionpolicy,
	title={Diffusion Policy: Visuomotor Policy Learning via Action Diffusion},
	author={Chi, Cheng and Feng, Siyuan and Du, Yilun and Xu, Zhenjia and Cousineau, Eric and Burchfiel, Benjamin and Song, Shuran},
	booktitle={Proceedings of Robotics: Science and Systems (RSS)},
	year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX014,Stanford Kuka Multimodal,2019,2019（官方表Citation字段）,false,Kuka iiwa,Single Arm,3000,31.98,10.66,stanford_kuka_multimodal_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,EEF Position,20,"@inproceedings{lee2019icra,
  title={Making sense of vision and touch: Self-supervised learning of multimodal representations for contact-rich tasks},
  author={Lee, Michelle A and Zhu, Yuke and Srinivasan, Krishnan and Shah, Parth and Savarese, Silvio and Fei-Fei, Li and  Garg, Animesh and Bohg, Jeannette},
  booktitle={2019 IEEE International Conference on Robotics and Automation (ICRA)},
  year={2019},
  url={https://arxiv.org/abs/1810.10191}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX015,NYU ROT,2023,2023（官方表Citation字段）,true,xArm,Single Arm,14,0.01,0.7143,nyu_rot_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human Joystick,EEF Position,3,"@inproceedings{haldar2023watch,
  title={Watch and match: Supercharging imitation with regularized optimal transport},
  author={Haldar, Siddhant and Mathur, Vaibhav and Yarats, Denis and Pinto, Lerrel},
  booktitle={Conference on Robot Learning},
  pages={32--43},
  year={2023},
  organization={PMLR}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX016,Stanford HYDRA,2023,2023（官方表Citation字段）,true,Franka,Single Arm,550,72.48,131.7818,stanford_hydra_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,EEF Position,10,"@article{belkhale2023hydra,
 title={HYDRA: Hybrid Robot Actions for Imitation Learning},
 author={Belkhale, Suneel and Cui, Yuchen and Sadigh, Dorsa},
 journal={arxiv},
 year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX017,Austin BUDS,2022,2022（官方表Citation字段）,true,Franka,Single Arm,50,1.49,29.8,austin_buds_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human Spacemouse,EEF Position,20,"@article{zhu2022bottom,
  title={Bottom-Up Skill Discovery From Unsegmented Demonstrations for Long-Horizon Robot Manipulation},
  author={Zhu, Yifeng and Stone, Peter and Zhu, Yuke},
  journal={IEEE Robotics and Automation Letters},
  volume={7},
  number={2},
  pages={4126--4133},
  year={2022},
  publisher={IEEE}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX018,NYU Franka Play,2022,2022（官方表Citation字段）,true,Franka,Single Arm,456,5.18,11.3596,nyu_franka_play_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,EEF velocity,3,"@article{cui2022play,
  title   = {From Play to Policy: Conditional Behavior Generation from Uncurated Robot Data},
  author  = {Cui, Zichen Jeff and Wang, Yibin and Shafiullah, Nur Muhammad Mahi and Pinto, Lerrel},
  journal = {arXiv preprint arXiv:2210.10047},
  year    = {2022}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX019,Maniskill,2023,2023（官方表Citation字段）,true,Franka,Single Arm,30000,151.05,5.035,maniskill_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Scripted,EEF Position,20,"@inproceedings{gu2023maniskill2,
  title={ManiSkill2: A Unified Benchmark for Generalizable Manipulation Skills},
  author={Gu, Jiayuan and Xiang, Fanbo and Li, Xuanlin and Ling, Zhan and Liu, Xiqiang and Mu, Tongzhou and Tang, Yihe and Tao, Stone and Wei, Xinyue and Yao, Yunchao and Yuan, Xiaodi and Xie, Pengwei and Huang, Zhiao and Chen, Rui and Su, Hao},
  booktitle={International Conference on Learning Representations},
  year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX020,Furniture Bench,2023,2023（官方表Citation字段）,true,Franka,Single Arm,5100,110,21.5686,furniture_bench_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,EEF velocity,10,"@inproceedings{heo2023furniturebench,
  title={FurnitureBench: Reproducible Real-World Benchmark for Long-Horizon Complex Manipulation},
  author={Minho Heo and Youngwoon Lee and Doohyun Lee and Joseph J. Lim},
  booktitle={Robotics: Science and Systems},
  year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX021,CMU Franka Exploration,2023,2023（官方表Citation字段）,true,Franka,Single Arm,200,0.59,2.95,cmu_franka_exploration_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,EEF Position,10,"@inproceedings{mendonca2023structured,
              title={Structured World Models from Human Videos},
              author={Mendonca, Russell  and Bahl, Shikhar and Pathak, Deepak},
              journal={RSS},
              year={2023}
            }",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX022,UCSD Kitchen,2023,2023（官方表Citation字段）,true,xArm,Single Arm,150,1.33,8.8667,ucsd_kitchen_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,EEF Position,2,"@ARTICLE{ucsd_kitchens,
  author = {Ge Yan, Kris Wu, and Xiaolong Wang},
  title = {{ucsd kitchens Dataset}},
  year = {2023},
  month = {August}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX023,UCSD Pick Place,2023,2023（官方表Citation字段）,true,xArm,Single Arm,1355,3.53,2.6052,ucsd_pick_and_place_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,EEF velocity,3,"@preprint{Feng2023Finetuning,
	title={Finetuning Offline World Models in the Real World},
	author={Yunhai Feng, Nicklas Hansen, Ziyan Xiong, Chandramouli Rajagopalan, Xiaolong Wang},
	year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX024,Austin Sailor,2022,2022（官方表Citation字段）,true,Franka,Single Arm,250,18.85,75.4,austin_sailor_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human Spacemouse,EEF velocity,20,"@inproceedings{nasiriany2022sailor,
      title={Learning and Retrieval from Prior Data for Skill-based Imitation Learning},
      author={Soroush Nasiriany and Tian Gao and Ajay Mandlekar and Yuke Zhu},
      booktitle={Conference on Robot Learning (CoRL)},
      year={2022}
    }",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX025,Austin Sirius,2023,2023（官方表Citation字段）,true,Franka,Single Arm,600,6.55,10.9167,austin_sirius_dataset_converted_externally_to_rlds,可从Open X注册清单获取,Human Spacemouse,EEF velocity,20,"@inproceedings{liu2022robot,
    title = {Robot Learning on the Job: Human-in-the-Loop Autonomy and Learning During Deployment},
    author = {Huihan Liu and Soroush Nasiriany and Lance Zhang and Zhiyao Bao and Yuke Zhu},
    booktitle = {Robotics: Science and Systems (RSS)},
    year = {2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX026,BC-Z,2021,2021（官方表Citation字段）,false,Google Robot,Mobile Manipulator,39350,80.54,2.0468,bc_z,可从Open X注册清单获取,Human VR,EEF Position,10,"@inproceedings{jang2021bc,
title={{BC}-Z: Zero-Shot Task Generalization with Robotic Imitation Learning},
author={Eric Jang and Alex Irpan and Mohi Khansari and Daniel Kappler and Frederik Ebert and Corey Lynch and Sergey Levine and Chelsea Finn},
booktitle={5th Annual Conference on Robot Learning},
year={2021},
url={https://openreview.net/forum?id=8kbp23tSGYv}}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX027,USC Cloth Sim,2022,2022（官方表Citation字段）,true,Franka,Single Arm,1000,0.25,0.25,usc_cloth_sim_converted_externally_to_rlds,可从Open X注册清单获取,Scripted,EEF Position,10,"@article{salhotra2022dmfd,
    author={Salhotra, Gautam and Liu, I-Chun Arthur and Dominguez-Kuhne, Marcus and Sukhatme, Gaurav S.},
    journal={IEEE Robotics and Automation Letters},
    title={Learning Deformable Object Manipulation From Expert Demonstrations},
    year={2022},
    volume={7},
    number={4},
    pages={8775-8782},
    doi={10.1109/LRA.2022.3187843}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX028,Tokyo PR2 Fridge Opening,2023,2023（官方表Citation字段）,true,PR2,Single Arm,64,0.35,5.4688,utokyo_pr2_opening_fridge_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,EEF Position,10,"@misc{oh2023pr2utokyodatasets,
  author={Jihoon Oh and Naoaki Kanazawa and Kento Kawaharazuka},
  title={X-Embodiment U-Tokyo PR2 Datasets},
  year={2023},
  url={https://github.com/ojh6404/rlds_dataset_builder},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX029,Tokyo PR2 Tabletop Manipulation,2023,2023（官方表Citation字段）,true,PR2,Single Arm,192,0.81,4.2188,utokyo_pr2_tabletop_manipulation_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,EEF Position,10,"@misc{oh2023pr2utokyodatasets,
  author={Jihoon Oh and Naoaki Kanazawa and Kento Kawaharazuka},
  title={X-Embodiment U-Tokyo PR2 Datasets},
  year={2023},
  url={https://github.com/ojh6404/rlds_dataset_builder},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX030,Saytap,2023,2023（官方表Citation字段）,true,Unitree A1,Quadrupedal Robot,20,0.05,2.5,utokyo_saytap_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,Joint position,50,"@article{saytap2023,
  author = {Yujin Tang and Wenhao Yu and Jie Tan and Heiga Zen and Aleksandra Faust and
Tatsuya Harada},
  title  = {SayTap: Language to Quadrupedal Locomotion},
  eprint = {arXiv:2306.07580},
  url    = {https://saytap.github.io},
  note   = ""{https://saytap.github.io}"",
  year   = {2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX031,UTokyo xArm PickPlace,2023,2023（官方表Citation字段）,true,xArm,Single Arm,95,1.29,13.5789,utokyo_xarm_pick_and_place_converted_externally_to_rlds,可从Open X注册清单获取,Human Puppeteering,EEF Position,10,"@misc{matsushima2023weblab,
  title={Weblab xArm Dataset},
  author={Tatsuya Matsushima and Hiroki Furuta and Yusuke Iwasawa and Yutaka Matsuo},
  year={2023},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX032,UTokyo xArm Bimanual,2023,2023（官方表Citation字段）,true,xArm Bimanual,Bi-Manual,70,0.14,2,utokyo_xarm_bimanual_converted_externally_to_rlds,可从Open X注册清单获取,Human Puppeteering,EEF Position,10,"@misc{matsushima2023weblab,
  title={Weblab xArm Dataset},
  author={Tatsuya Matsushima and Hiroki Furuta and Yusuke Iwasawa and Yutaka Matsuo},
  year={2023},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX033,Robonet,2019,2019（官方表Citation字段）,false,Multi-Robot,Single Arm,82432,799.91,9.7039,robo_net,可从Open X注册清单获取,Scripted,EEF velocity,1,"@inproceedings{dasari2019robonet,
    title={RoboNet: Large-Scale Multi-Robot Learning},
    author={Sudeep Dasari and Frederik Ebert and Stephen Tian and Suraj Nair and Bernadette Bucher and Karl Schmeckpeper and Siddharth Singh and Sergey Levine and Chelsea Finn},
    year={2019},
    eprint={1910.11215},
    archivePrefix={arXiv},
    primaryClass={cs.RO},
    booktitle={CoRL 2019: Volume 100 Proceedings of Machine Learning Research}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX034,Berkeley MVP Data,2022,2022（官方表Citation字段）,true,xArm,Single Arm,480,12.34,25.7083,berkeley_mvp_converted_externally_to_rlds,可从Open X注册清单获取,Human VR,Joint position,5,"@InProceedings{Radosavovic2022,
  title = {Real-World Robot Learning with Masked Visual Pre-training},
  author = {Ilija Radosavovic and Tete Xiao and Stephen James and Pieter Abbeel and Jitendra Malik and Trevor Darrell},
  booktitle = {CoRL},
  year = {2022}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX035,Berkeley RPT Data,2023,2023（官方表Citation字段）,true,Franka,Single Arm,960,40.64,42.3333,berkeley_rpt_converted_externally_to_rlds,可从Open X注册清单获取,Scripted,Joint position,30,"@article{Radosavovic2023,
  title={Robot Learning with Sensorimotor Pre-training},
  author={Ilija Radosavovic and Baifeng Shi and Letian Fu and Ken Goldberg and Trevor Darrell and Jitendra Malik},
  year={2023},
  journal={arXiv:2306.10007}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX036,KAIST Nonprehensile Objects,2023,2023（官方表Citation字段）,true,Franka,Single Arm,201,11.71,58.2587,kaist_nonprehensile_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,EEF Position,10,"@article{kimpre,
  title={Pre-and post-contact policy decomposition for non-prehensile manipulation with zero-shot sim-to-real transfer},
  author={Kim, Minchan and Han, Junhyek and Kim, Jaehyung and Kim, Beomjoon},
  booktitle={2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
  year={2023},
  organization={IEEE}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX037,QUT Dynamic Grasping,2023,2023（官方表Citation字段）,true,Franka,Single Arm,812,,,,未在Open X注册清单；需查原项目,Scripted,EEF Position,30,"@misc{rana2023dgrasp,
author = {Krishan Rana, Ben Burgess-Limerick, Jad Abou-Chakra, Niko S{\""u}nderhauf},
title = {DGrasp: A Large Scale Dataset for Dynamic Grasping of Moving Objects.},
year = {2023}}",未进入Open X注册下载清单，需从原项目入口获取。,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX038,Stanford MaskVIT Data,2022,2022（官方表Citation字段）,true,Sawyer,Single Arm,9200,76.17,8.2793,stanford_mask_vit_converted_externally_to_rlds,可从Open X注册清单获取,Scripted,EEF Position,"N/A, actions are run until robot comes to rest near the target position (quasistatic assumption)","@inproceedings{gupta2022maskvit,
  title={MaskViT: Masked Visual Pre-Training for Video Prediction},
  author={Agrim Gupta and Stephen Tian and Yunzhi Zhang and Jiajun Wu and Roberto Martín-Martín and Li Fei-Fei},
  booktitle={International Conference on Learning Representations},
  year={2022}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX039,LSMO Dataset,2022,2022（官方表Citation字段）,true,Cobotta,Single Arm,50,0.33,6.6,tokyo_u_lsmo_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,EEF velocity,10,"@Article{Osa22,
  author  = {Takayuki Osa},
  journal = {The International Journal of Robotics Research},
  title   = {Motion Planning by Learning the Solution Manifold in Trajectory Optimization},
  year    = {2022},
  number  = {3},
  pages   = {291--311},
  volume  = {41},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX040,DLR Sara Pour Dataset,2023,2023（官方表Citation字段）,true,DLR SARA,Single Arm,100,2.92,29.2,dlr_sara_pour_converted_externally_to_rlds,可从Open X注册清单获取,Expert Policy,EEF velocity,10,"@inproceedings{padalkar2023guiding,
  title={Guiding Reinforcement Learning with Shared Control Templates},
  author={Padalkar, Abhishek and Quere, Gabriel and Steinmetz, Franz and Raffin, Antonin and Nieuwenhuisen, Matthias and Silv{\'e}rio, Jo{\~a}o and Stulp, Freek},
  booktitle={40th IEEE International Conference on Robotics and Automation, ICRA 2023},
  year={2023},
  organization={IEEE}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
