"id","name","year","category","origin","full_body_tier","embodiment","robot_platform","tasks","modalities","learning_goal","collection_system","teleoperation","synchronization","control_frequency","storage_format","episode_structure","action_representation","hours","trajectories","robots","tasks_count","objects_count","scenes_count","access_status","license","primary_url","secondary_url","evidence_level","limitations","last_verified"
"E011","BridgeData V2","2023","真实机器人训练数据","真实机器人","非full-body","单臂夹爪","WidowX 250 6DoF","抓放、推扫、开关门抽屉、堆叠、布料","多视角RGB;部分深度;语言;状态;动作","目标/语言条件模仿;离线学习","VR控制器+统一桌面平台","VR控制器","相机与机器人记录对齐","5 Hz","JPEG目录；社区RLDS版本","轨迹/episode","末端动作+夹爪","","60096","1","13","","24","可下载","CC BY 4.0","https://rail-berkeley.github.io/bridgedata/","https://arxiv.org/abs/2308.12952","A","多数数据只有主相机；低频且单臂","2026-09-01"
"E012","Open X-Embodiment","2023","跨本体真实机器人聚合数据集","真实机器人汇聚","对照","单臂、双臂、移动平台、少量四足","22种机器人本体","527技能/160266任务标签","视觉;语言;状态;动作","跨本体预训练;VLA","72个既有独立数据集汇聚","来源各异","RLDS标准化后对齐","来源各异","RLDS/TFDS","episode-step","统一到7维末端/夹爪或速率","","2419193","22","527","","","69项可从Open X清单获取；3项需查原项目","各子集许可证","https://robotics-transformer-x.github.io/","https://github.com/google-deepmind/open_x_embodiment","A","聚合条目不能按1个独立数据集统计；动作语义、控制频率、相机配置和许可仍按72个来源分别解释；full-body数据占比很低","2026-09-02"
"E013","RH20T","2023/2024","真实机器人多模态训练数据","真实机器人+配对人体示范","非full-body","多种单臂夹爪","7种机器人配置","147类任务来源（48 RLBench+29 MetaWorld+70自定义）","多视角RGB-D;红外;关节;力矩;力/力矩;音频;部分触觉;动作","一次示范学习;多模态模仿","触觉设备+脚踏+多相机工作站","力反馈设备","相机、机器人和力觉显式时间戳与标定","RGB-D 10 Hz;TCP/FT 100 Hz;触觉200 Hz","MP4+NPY+JSON目录","机器人序列与配对人体序列","TCP/关节/夹爪命令","","110000+","7配置","147","","","可分包下载","CC BY-SA 4.0与CC BY-NC混合","https://rh20t.github.io/","https://github.com/rh20t/rh20t_api","A","原始约40TB；压缩深度存在精度损失；许可混合","2026-09-01"
"E014","RoboSet","2023","真实机器人训练数据","真实机器人","非full-body","单臂夹爪","Franka/多配置","多任务桌面操作","多视角RGB;状态;动作;语言/任务","模仿学习;多任务策略","人工遥操作","遥操作","论文描述","未核验","项目格式","episode","机器人动作","","98000","多配置","38","","","论文/数据入口公开","项目条款","https://arxiv.org/abs/2301.07615","https://robopen.github.io/","B","官方页面与具体下载状态需按版本复核","2026-09-01"
"E015","LIBERO","2023","仿真benchmark与演示集","仿真","非full-body","单臂夹爪","robosuite/Franka","终身学习与长时程操作","RGB;状态;动作;语言","lifelong learning;模仿;VLA评测","专家演示与任务定义","策略/人工演示","仿真时钟","20 Hz上下（版本相关）","HDF5；社区RLDS/LeRobot版本","episode","末端/关节动作","","6500左右","1","130","","","任务与演示可下载","MIT/资产条款","https://libero-project.github.io/","https://github.com/Lifelong-Robot-Learning/LIBERO","A","仿真固定域；不同转换版本可能改变图像与动作字段","2026-09-01"
"E016","ALOHA demonstrations","2023","采集系统+真实机器人任务数据","真实机器人","非full-body","固定双臂","双ViperX ALOHA","精细双臂、插入、开杯、穿线","4路RGB;关节状态;关节动作","行为克隆;ACT","机械同构leader-follower","关节空间leader-follower","统一控制循环","50 Hz","HDF5（公开实现）","episode","双臂关节目标","约0.17/任务","50/任务","2臂","多项","","固定台面","代码与示例数据开放","项目条款","https://tonyzhaozh.github.io/aloha/","https://github.com/tonyzhaozh/aloha","A","每任务数据少且环境固定；不是移动或全身控制","2026-09-01"
"E017","GELLO","2023","采集系统","真实机器人","非full-body","单臂/双臂","Franka;UR5;xArm7","接触丰富与双臂操作","关节状态;机器人传感器由部署决定","高质量模仿数据采集","低成本机械同构leader设备","关节空间leader-follower","控制环直接对齐","未统一公开","不规定数据容器","演示轨迹","关节位置","","","3类","5项用户研究+展示","","","软硬件开源；非统一数据集","软件/硬件许可证","https://wuphilipp.github.io/gello_site/","https://github.com/wuphilipp/gello_software","A","每种目标机械臂需要专用机构；本身不是规模化数据集","2026-09-01"
"E018","AnyTeleop","2023","采集系统","真实机器人","非full-body","跨机械臂与灵巧手","多种arm-hand","抓取与灵巧操作","人体手臂/手姿;机器人状态;动作","跨本体遥操作;模仿数据采集","视觉人体姿态+统一retargeting","无穿戴视觉遥操作","实时姿态对齐","实时","代码定义；不规定统一容器","演示轨迹","retarget后的关节/末端动作","","","多种","","","","代码/论文公开","项目条款","https://yzqin.github.io/anyteleop/","https://arxiv.org/abs/2307.04577","A","视觉遮挡和retargeting误差会直接进入动作监督","2026-09-01"
"E019","PATO","2023","采集方法/系统","真实机器人","非full-body","机械臂","论文平台","多任务操作","视觉;状态;动作;策略建议","策略辅助遥操作;主动数据采集","共享控制","人机协同遥操作","系统时钟","未核验","论文内部格式","episode","人类输入+策略辅助动作","","","","","","","论文公开；数据未形成通用公开集","论文条款","https://arxiv.org/abs/2212.04708","https://doi.org/10.15607/RSS.2023.XIX.013","B","贡献是采集效率方法而非可下载数据集","2026-09-01"
"E020","Motion-X","2023","人类全身动作-语言数据","视频汇聚+MoCap重标注","上游","人类全身、手、脸","SMPL-X","多场景表达性人体动作","SMPL-X;逐帧姿态描述;序列语义","全身运动生成;humanoid motion prior","八个公开集+1.5万网络视频自动标注","不适用","视频/姿态/文本对齐","来源相关","SMPL-X参数/文本","motion sequence","无机器人动作","","81100","","","","","申请获取","CC BY-NC-SA及上游混合条款","https://motion-x-dataset.github.io/","https://github.com/IDEA-Research/Motion-X","A","15.6M是姿态帧而不是机器人轨迹；上游视频许可复杂","2026-09-01"
"E021","InterHuman","2023","人类多人交互动作数据","MoCap","上游","双人全身","SMPL/关节表示","人与人交互","3D动作;文本","交互运动先验;生成","MoCap与文本标注","不适用","双人动作对齐","未核验","项目格式","interaction clip","无机器人动作","16.2","6022","","","","","项目申请/下载","研究条款","https://tr3e.github.io/intergen-page/","https://arxiv.org/abs/2303.00412","A","可支持humanoid交互先验，但没有机器人接触与稳定性约束","2026-09-01"
"E022","OMOMO","2023","人类全身物体交互数据","MoCap/视频","上游","人类全身","SMPL-X/物体轨迹","搬运与全身物体操作","人体动作;物体6D轨迹;接触","物体条件动作生成;retargeting","人体-物体同步采集","不适用","人体与物体时间对齐","未核验","项目格式","interaction sequence","无机器人动作","","","","","15左右","","项目数据开放状态按条款","研究条款","https://lijiaman.github.io/projects/omomo/","https://arxiv.org/abs/2309.02828","B","规模较小；机器人负载、足底接触和执行器限制缺失","2026-09-01"
"E023","DROID","2024","真实机器人训练数据","真实机器人","非full-body","单臂夹爪","Franka Panda","86类野外操作任务","3路立体RGB;本体状态;动作;语言;标定","大规模模仿;VLA;泛化","统一便携工作站+Quest 2","VR控制器","硬件统一；提供相机内外参；36k episode有改进标定","未在主页统一声明","RLDS/TFDS；原始数据与视频","episode-step","机器人动作字段","350","76000","13套","86","","564","完整数据、硬件和训练代码开放","项目数据条款","https://droid-dataset.github.io/","https://arxiv.org/abs/2403.12945","A","单一Franka本体；95%成功episode有语言标注，失败分布有限","2026-09-01"
"E024","Universal Manipulation Interface (UMI)","2024","采集系统+任务数据","真实人类示范到真实机器人","非full-body","手持夹爪到单/双机械臂","UR5e;Franka等","动态投掷、杯具、叠衣、洗碗","腕部RGB;相机/IMU轨迹;夹爪宽度;双夹爪相对位姿","机器人无关模仿;扩散策略","GoPro+手持平行夹爪+SLAM","手持直接示范","相机-IMU与延迟匹配","未统一公开","项目数据格式","演示序列","相机中心相对轨迹+夹爪","","任务相关","多平台","4类核心展示","","野外多场景","代码硬件开放；任务数据按项目提供","项目条款","https://umi-gripper.github.io/","https://github.com/real-stanford/universal_manipulation_interface","A","需要SLAM和机器人可达性过滤；手持夹爪不能覆盖全身平衡动作","2026-09-01"
"E025","Mobile ALOHA","2024","采集系统+真实移动操作数据","真实机器人","对照","轮式移动双臂","Mobile ALOHA","做饭、开柜、乘电梯、清洗等长时程移动操作","多路RGB;双臂关节;移动底盘;动作","全身移动操作模仿;ACT++","ALOHA leader-follower+移动底盘全身接口","机械同构双臂+底盘控制","统一控制循环","未在主页统一声明","HDF5/项目代码","episode","双臂关节+底盘动作","","50/任务","双臂+底盘","多项","","家庭场景","数据、硬件与训练代码开放","项目条款","https://mobile-aloha.github.io/","https://arxiv.org/abs/2401.02117","A","这里的whole-body指移动底盘+双臂，不含足式平衡","2026-09-01"
"E026","HumanoidBench","2024","仿真benchmark/任务库","仿真","核心","双足humanoid+双手","Unitree H1/ Digit；Shadow Hand/Robotiq","locomotion、静态/动态全身操作","本体状态;物体状态;双头部相机;全身448 taxel触觉","全身RL;层级控制;评测","MuJoCo/MJX仿真","策略生成","仿真时钟","仿真步长相关","MuJoCo环境/rollout","episode","全身关节动作","","","多本体选项","27","","","代码与任务开放；非固定专家数据集","CC BY-SA 4.0网站；代码许可证","https://humanoid-bench.github.io/","https://github.com/carlosferrazza/humanoid-bench","A","benchmark不是现成大规模专家轨迹；多数任务对平坦RL仍困难","2026-09-01"
"E027","H2O","2024","全身遥操作系统","真实humanoid+仿真训练","核心","双足humanoid全身","Unitree H1等","实时全身模仿与遥操作","人体关键点;机器人本体状态;动作","运动跟踪;全身遥操作","人体姿态估计+RL运动跟踪","RGB/动作捕捉输入","实时目标姿态","实时","代码/模型资产","motion sequence/实时流","全身关节目标/策略动作","","","","","","","代码与论文开放","项目条款","https://human2humanoid.com/","https://arxiv.org/abs/2403.04436","A","主要解决控制接口；不是通用任务episode数据集","2026-09-01"
"E028","OmniH2O-6","2024","全身遥操作系统+真实任务数据","人体动作+仿真+真实humanoid","核心","双足humanoid+灵巧手","全尺寸humanoid","运动、搬运、体育、人机交互；6个日常任务数据","人体姿态;机器人本体;任务观测;动作","运动跟踪;模仿学习;自主技能","VR/RGB/语言目标+retargeting+RL teacher-student","VR头显或RGB人体姿态","稀疏传感策略实时控制","实时","项目数据包/代码","motion clip与任务episode","运动目标+全身关节策略","","6任务数据","1","6","","真实多场景","数据链接与代码开放","项目条款","https://omni.human2humanoid.com/","https://github.com/LeCAR-Lab/human2humanoid","A","只有6个任务；网页未提供统一规模口径；动作数据与视觉任务数据需区分","2026-09-01"
"E029","HumanPlus","2024","全身遥操作系统+技能数据","人体动作+仿真+真实humanoid","核心","33-DoF双足humanoid","定制180cm humanoid","穿鞋起身行走、仓储、叠衣、打字、交互","人体RGB姿态;机器人本体;第一视角RGB;动作","运动跟踪;行为克隆;自主技能","单RGB人体shadowing+RL低层控制","人体实时shadowing","视觉与机器人控制在线对齐","实时","项目数据/代码","motion sequence与技能episode","全身低层动作","40人类动作先验","每任务最多40示范","1","多项","","真实场景","数据与代码链接开放","项目条款","https://humanoid-ai.github.io/","https://github.com/MarkFzp/humanplus","A","40小时是人类运动先验而非任务示范；任务数据规模小","2026-09-01"
"E030","Ego-Exo4D","2023/2024","人类上游多视角技能数据","真实人类","上游","人类全身/手/物体","Aria+多台外部相机","烹饪、运动、音乐、维修、健康等技能活动","同步ego/exo视频;音频;语言;姿态/基准标注","视频预训练;技能理解;retargeting上游","多站点同步第一/第三视角采集","不适用","多机同步","视频帧率","视频+标注+CLI","take/keystep","无机器人动作","1286.3","5035 takes","","8大场景族","","123站点","签署许可后公开下载","Ego-Exo4D license","https://ego-exo4d-data.org/","https://arxiv.org/abs/2311.18259","A","没有机器人动作与力觉；含可识别个人信息，许可与隐私约束强","2026-09-01"
"E031","RoboCasa","2024","仿真任务、资产与演示数据","仿真","对照","移动机械臂；支持humanoid/四足带臂","robosuite多本体","厨房原子技能与组合任务","RGB-D;状态;动作;任务语义;资产状态","模仿;多任务;长时程评测","人工演示+自动轨迹生成","仿真控制/人类示范","仿真时钟","任务相关","robomimic/HDF5生态","episode","本体相关动作","","","多种","100级（初版）","3200+资产（当前）","120初版","代码与演示开放","代码/资产各自条款","https://robocasa.ai/","https://arxiv.org/abs/2406.02523","A","仿真厨房域；版本演进快，初版与365规模不可混算","2026-09-01"
"E032","RoboMIND 1.0/2.0","2024-2026","多本体真实机器人数据+benchmark","真实机器人+数字孪生","扩展","单臂、双臂、humanoid双灵巧手","Franka;UR5e;AgileX;Tien Kung humanoid","基础、精细、协调、长时程与场景理解操作","多视角RGB;本体状态;动作;语言;失败原因","模仿;VLA;失败反思;评测","统一智能采集平台+高质量人工遥操作","人工遥操作","统一平台协议","未在主页统一声明","官方数据集与utils；V2有ModelScope集合","episode","以关节位置为核心监督","","107000+","4","479","96类","多场景","1.0 Hugging Face；2.0 ModelScope开放","数据集条款","https://x-humanoid-robomind.github.io/","https://huggingface.co/datasets/x-humanoid-robomind/RoboMIND","A","humanoid子集多为固定上身/双臂任务，不等于严格whole-body；含5k失败示范","2026-09-01"
"E033","AgiBot World Alpha/Beta","2024-2025","大规模多本体真实机器人数据","真实机器人","扩展","移动双臂、humanoid、双Franka等","100台机器人","五领域、接触丰富、长时程、多机器人协作","多视角视觉;语言;状态;动作;部分视觉触觉","机器人基础模型;VLA;多任务模仿","规模化统一采集平台","人工遥操作/平台采集","官方统一平台","30 Hz","原始格式；提供转LeRobot v2.1路径","episode","多本体动作","","1003672 Beta;92214 Alpha","100","任务目录单列","","100+ 1:1场景","Alpha/Beta可下载","CC BY-NC-SA 4.0","https://github.com/OpenDriveLab/AgiBot-World","https://huggingface.co/datasets/agibot-world/AgiBotWorld-Beta","A","43.8T为存储规模；多数是上身/双臂操作，full-body腿部动作覆盖不明确","2026-09-01"
"E034","VTDexManip","2025","视觉触觉数据集+benchmark","真实+仿真","非full-body","灵巧手","Allegro Hand","视觉触觉预训练与六项灵巧操作","RGB;触觉;状态;动作","视觉触觉表征;RL","真实采集+仿真任务","项目系统","项目同步","未核验","项目数据格式","episode","手部关节动作","","","1","10类/6评测","182","","项目数据与代码开放","项目条款","https://lqts.github.io/VTDexManip/","https://openreview.net/forum?id=jf7C7EGw21","A","不是大规模语言条件数据；只覆盖手部","2026-09-01"
"E035","DexMimicGen","2024","仿真数据生成管线","仿真生成","非full-body","双灵巧手","双Shadow Hand","双手操作与长时程技能","状态;动作;物体位姿;可渲染视觉","模仿;合成数据扩增","少量源示范+任务分段+仿真变换","源示范/生成器","仿真时钟","任务相关","robomimic/MimicGen生态","episode与子任务段","关节/末端动作","","20000+（由60源示范）","2手","多项","","","代码与生成数据开放","NVIDIA/项目条款","https://dexmimicgen.github.io/","https://arxiv.org/abs/2410.24185","A","依赖任务分段、对象位姿和仿真物理；不含下肢","2026-09-01"
"E036","DexCap/DexIL","2024","人体采集系统+机器人技能数据","真实人体+机器人","非full-body","人体手到机器人灵巧手","多指机器人手","6项野外灵巧操作","点云;手腕/手指姿态;环境3D;人工纠正","retargeting;模仿学习","SLAM+电磁手部动捕","便携手部MoCap","多传感器对齐","未核验","项目格式","演示序列","retarget后机器人动作","","","","6","","野外","代码/数据按项目开放","项目条款","https://dex-cap.github.io/","https://arxiv.org/abs/2403.07788","A","只捕获手/腕核心运动；需要IK与机器人可行性映射","2026-09-01"
"E037","OakInk2","2024","人类双手长时程交互数据","真实人类","上游","人类双手/上身","多视角RGB-D+手物跟踪","双手长时程物体交互","RGB-D;MANO;物体位姿;语言/任务结构","HOI理解;上游预训练;retargeting","多视角人类交互采集","不适用","相机与手物状态对齐","未核验","项目格式","复杂任务序列/程序结构","无机器人动作","","","","多项","多物体","","申请/项目访问","研究条款","https://oakink.net/","https://arxiv.org/abs/2403.19417","A","不含机器人动作、足底接触或动力学；需任务级retargeting","2026-09-01"
"E038","ManiSkill demonstrations","2024-2026","仿真任务与演示数据","仿真","对照","多机械臂/移动操作；版本可扩展","多种机器人","抓放、装配、移动操作、数字孪生任务","RGB-D;点云;状态;动作;物体状态","模仿;RL;生成数据;评测","规划器/策略/人工演示","多种","仿真时钟","任务相关","HDF5轨迹+视频/元数据","episode","本体相关动作","","任务相关","多种","多项","多资产","多场景","代码和演示下载开放","Apache-2.0/资产条款","https://maniskill.readthedocs.io/","https://github.com/haosulab/ManiSkill","A","不同版本任务和数据格式会变化；不能把环境数当演示数","2026-09-01"
"E039","RoboTwin 2.0","2025","仿真数据生成与benchmark","仿真","对照","双臂为主；多机器人","ALOHA/双臂等","多任务双臂操作","RGB-D;状态;动作;语言","VLA;模仿;合成数据;评测","数字孪生+自动数据生成","仿真/脚本/示范","仿真时钟","10 Hz等，版本相关","项目格式；提供LeRobot集成","episode","本体相关动作","","大规模、任务相关","多种","多项","多资产","多场景","代码、任务和部分数据开放","Apache-2.0","https://github.com/RoboTwin-Platform/RoboTwin","https://robotwin-platform.github.io/","A","主要是双臂而非腿-躯干协同；规模随版本快速变化","2026-09-01"
"E040","Motion-X++","2025","多模态人类全身动作数据","视频+MoCap汇聚","上游","人类全身、手、脸","SMPL-X","表达性动作、交互、文本/音频条件动作","3D全身姿态;视频;文本;音频等","多模态运动先验;humanoid上游","大规模自动标注与汇聚","不适用","跨模态对齐","来源相关","项目格式","motion sequence","无机器人动作","","大规模，见论文","","","","","预印本/项目数据状态按版本","上游混合条款","https://arxiv.org/abs/2501.05098","https://github.com/IDEA-Research/Motion-X","B","规模和开放内容需按具体子集核验；不含机器人动力学","2026-09-01"
"E041","RoboCasa365","2026","仿真任务、资产与演示数据","仿真+合成","对照","移动机械臂；支持humanoid/四足带臂","多本体","365项厨房任务；65原子任务与组合任务","视觉;状态;动作;子任务;自然语言;资产状态","多任务/基础模型/终身学习;评测","600+小时人类示范+1600+小时合成示范","仿真示范与自动生成","仿真时钟","任务相关","RoboCasa/robomimic生态","episode；逐帧子任务索引","本体相关动作","2200+","","多种","365","3200+资产","2500","代码、benchmark与数据开放","项目/资产条款","https://robocasa.ai/","https://arxiv.org/abs/2603.04356","A","仿真厨房域；当前网页规模与早期论文数字必须按版本区分","2026-09-01"
"E042","TACT","2025","全身接触操作方法/内部数据","真实humanoid+仿真","核心","双足humanoid全身","humanoid平台","全身多接触与触觉操作","本体;动作;触觉/接触","全身模仿;接触操作","人体/参考动作+触觉策略训练","论文系统","仿真/真实对齐","实时","论文内部格式","任务episode","全身动作","","","1","若干","","","论文公开；通用数据未确认开放","作者条款","https://arxiv.org/abs/2506.15146","","B","是方法与内部数据，不应当作公开数据集；规模未标准化","2026-09-01"
"E043","TWIST","2025","全身遥操作系统+运动数据","MoCap+仿真+真实humanoid","核心","双足humanoid全身","Unitree G1/Booster T1等","全身操作、腿部操作、locomotion、表达动作","MoCap人体动作;机器人本体;运动目标;动作","全身运动跟踪;遥操作;RL+BC","MoCap+在线retargeting+RL/BC","全身人体动作模仿","目标生成与策略在线链路","实时；项目报告总延迟约0.9秒","代码与训练运动数据","motion sequence/实时流","全身关节策略","","","多本体","多项展示","","","代码、训练运动数据和模型开放；无通用任务数据集","项目条款","https://yanjieze.com/projects/TWIST/","https://github.com/YanjieZe/TWIST","A","项目明确未展示自主任务策略；MoCap不便携且存在遮挡、无触觉和电机过热","2026-09-01"
"E044","CLONE","2025","闭环全身遥操作系统","真实humanoid+仿真","核心","双足humanoid全身","论文平台","长时程全身任务","人体动作;机器人状态;视觉反馈;动作","闭环遥操作;数据采集","人体姿态+闭环纠错","实时人体控制","论文描述","实时","论文/代码状态待核验","实时流/任务episode","全身动作","","","","长时程任务","","","预印本；数据状态未核验","作者条款","https://arxiv.org/abs/2506.08931","","B","贡献偏系统闭环，不能视为已开放规模数据集","2026-09-01"
"E045","HumanoidExo","2025","可穿戴全身采集系统","真实人类+humanoid","核心","双足humanoid全身","论文平台","可扩展全身操作","外骨骼姿态;机器人状态;动作","全身遥操作;示范采集","可穿戴外骨骼+retargeting","外骨骼","论文描述","实时","预印本/项目格式","任务episode","全身动作","","","","","","","预印本；开放状态未核验","作者条款","https://arxiv.org/abs/2510.03022","","B","硬件成本、穿戴标定与数据开放规模待核验","2026-09-01"
"E046","UniTracker","2025","全身运动跟踪方法/运动数据","人体动作+仿真","核心","多humanoid全身","多种humanoid","通用全身运动跟踪","人体运动;机器人本体;动作","通用低层控制;retargeting","人体运动retarget+仿真RL","非任务遥操作为主","仿真与真实策略链路","实时","代码/运动数据状态按项目","motion sequence","全身动作","","","多种","","","","预印本/代码状态按官方仓库","作者条款","https://arxiv.org/abs/2507.07356","","B","是运动控制底座，不是带视觉与任务结果的操作数据集","2026-09-01"
"E047","RoboTacDex","2026","真实humanoid视觉触觉动作数据","真实机器人","扩展","humanoid双臂+灵巧手","Unitree G1","19任务、23技能、22物体的双臂灵巧操作","多视角RGB-D;触觉;机器人状态;动作;语义标注","多模态模仿;视觉触觉策略","改进多相机同步采集系统","人工遥操作（论文系统）","毫秒级多相机同步（作者报告）","未核验","预印本数据格式","episode","双臂/手动作","","6000","1","19","22","","论文称将开源；截止日下载状态未确认","未核验","https://arxiv.org/abs/2606.31836","","B","主要使用双臂和手，腿部/平衡参与不足，列扩展层而非核心层","2026-09-01"
"E048","Dexora Real-World","2026","真实双臂高自由度训练数据","真实机器人","扩展","双臂灵巧手","Dexora平台","双臂灵巧与VLA任务","多视角RGB;状态;动作;语言","VLA;模仿","真实机器人遥操作系统","项目遥操作","项目同步","未核验","Hugging Face数据卡格式","episode","双臂/手动作","40.5","12200","1","多项","","","数据集可下载","数据卡条款","https://huggingface.co/datasets/Dexora/Dexora_Real-World_Dataset","https://arxiv.org/abs/2605.18722","A","2.92M帧与12.2k episode为数据卡口径；不是严格whole-body","2026-09-01"
"E049","VITRA-1M","2025","人类第一视角手部视频数据","网络/真实人类视频","上游","人类手","MANO重建","大规模灵巧行为片段","视频;语言;相机参数;MANO 3D手","VLA/视频表征预训练;人到机器人迁移","视频汇聚与自动手部重建","不适用","视频/重建/文本对齐","视频帧率","Hugging Face数据集","clip","无机器人动作","","1200000 clips","","","","","数据可下载","数据卡与上游来源条款","https://huggingface.co/datasets/VITRA-VLA/VITRA-1M","","A","约26M帧不含机器人控制；上游视频许可与重建误差需处理","2026-09-01"
"E050","OpenEgo","2025","人类第一视角多模态汇聚数据","真实人类视频汇聚","上游","人类手/上身","多来源ego视频","灵巧操作、意图与动作原语","视频;手姿;意图;动作原语","人类视频预训练;VLA上游","多来源数据汇聚/标注","不适用","来源相关","来源相关","预印本/汇聚格式","clip/原语","无机器人动作","1107","","","","","","预印本；完整统一下载状态需核验","来源各自条款","https://arxiv.org/abs/2509.05513","","B","聚合规模不能等同统一可再分发数据；没有机器人动作","2026-09-01"
